1,CNY,1491384997,531,280850000000000,Chinese Yuan
2,USD,908684803,3791,23966561667000,US Dollar
3,EUR,604493034,4060,14888841000000,Euro
4,XAU,458964285.7,6229307.906,7367821476,Gold
5,JPY,428172942,27,1580272000000000,Japanese Yen
6,GBP,167837569,4719,3556335000000,British Pound
7,KRW,149445100,2,5153996000000000,South Korean Won
8,INR,104761670,45,228227000000000,Indian Rupee
9,CAD,97965738,2837,3452613000000,Canadian Dollar
10,HKD,80596381,483,16664338000000,Hong Kong Dollar
11,BRL,76244778,770,9901139000000,Brazilian Real
12,TWD,72701048,123,58998290000000,New Taiwan Dollar
13,AUD,72656925,2525,2877000000000,Australian Dollar
14,CHF,48029988,4169,1151874000000,Swiss Franc
15,RUB,39349223,46,84636000000000,Russian Ruble
16,MXN,32559732,218,14901898313000,Mexican Peso
17,THB,27424970,108,25223000000000,Thai Baht
18,SAR,26515146,1010,2622857000000,Saudi Riyal
19,SGD,22217886,2811,790284000000,Singapore Dollar
20,AED,21990420,1032,2130325000000,United Arab Emirates Dirham
21,VND,21635253,1,13402097000000000,Vietnamese Dong
22,IDR,21255646,1,8350400000000000,Indonesian Rupiah
23,PLN,19415224,904,2147524000000,Polish Zloty
24,BTC,19395781,100000000,19395781,Bitcoin
25,ILS,19108076,1037,1841718000000,Israeli New Shekel
26,MYR,18806645,822,2287421000000,Malaysian Ringgit
27,SEK,16895766,348,4849338000000,Swedish Krona
28,TRY,15499297,162,9525102615000,Turkish Lira
29,CLP,15278811,4,319010000000000,Chilean Peso
30,CZK,11011742,171,6413147000000,Czech Koruna
31,PHP,10973064,67,16251351000000,Philippine Peso
32,NOK,10696744,343,3114493000000,Norwegian Krone
33,DKK,10287323,545,1887402000000,Danish Krone
34,EGP,9886201,122,8069150000000,Egyptian Pound
35,ZAR,9742498,198,4909344000000,South African Rand
36,NZD,9132111,2291,398520000000,New Zealand Dollar
37,QAR,7250469,1041,696270000000,Qatari Rial
38,COP,6871908,1,764498000000000,Colombian Peso
39,MAD,6304170,371,1698034000000,Moroccan Dirham
40,RON,5064026,818,618680000000,Romanian Leu
41,IQD,4934677,2,170607000000000,Iraqi Dinar
42,KWD,4862213,12321,39461000000,Kuwaiti Dinar
43,NGN,4569895,8,55646746000000,Nigerian Naira
44,HUF,4513767,11,40982000000000,Hungarian Forint
45,PKR,4324877,13,32743306000000,Pakistani Rupee
46,ARS,3993406,15,25651936000000,Argentine Peso
47,MOP,3392687,469,723227000000,Macanese Pataca
48,PEN,3053524,1030,296293000000,Peruvian Sol
49,BGN,3008974,2073,145106000000,Bulgarian Lev
50,KZT,2861264,8,33644434000000,Kazakhstani Tenge
51,UAH,2688643,102,2620200000000,Ukrainian Hryvnia
52,JOD,2229289,5344,41711000000,Jordanian Dinar
53,OMR,2073267,9847,21053000000,Omani Rial
54,GTQ,2036014,483,420737000000,Guatemalan Quetzal
55,XOF,1708100,6,27596400000000,West African CFA Franc
56,DOP,1617837,69,2339766000000,Dominican Peso
57,BHD,1583646,10056,15748000000,Bahraini Dinar
58,RSD,1429027,34,4126178000000,Serbian Dinar
59,LKR,1383210,12,10659665000000,Sri Lankan Rupee
60,BOB,1306311,548,238221462000,Bolivian Boliviano
61,KES,1271734,27,4668728000000,Kenyan Shilling
62,CRC,999128,7,14159334000000,Costa Rican Col�n
63,AZN,932410,2234,41733000000,Azerbaijani Manat
64,HNL,898881,154,583548000000,Honduran Lempira
65,LYD,866680,785,110339000000,Libyan Dinar
66,BYN,799844,1501,53281000000,Belarusian Ruble
67,AOA,704853,6,11386463000000,Angolan Kwanza
68,ISK,699302,27,2589000000000,Icelandic Kr�na
69,PYG,669019,1,127917997000000,Paraguayan Guarani
70,MUR,668129,82,812680000000,Mauritian Rupee
71,TZS,639033,1,39962000000000,Tanzanian Shilling
72,ALL,621917,37,1639769000000,Albanian Lek
73,LBP,569272,1,225505000000000,Lebanese Pound
